District,State,Literacy_Rate_pct,Sex_Ratio_Total,Birth_Registration_pct,Electricity_Access_pct,Improved_DrinkingWater_pct,Improved_Sanitation_pct,Clean_Fuel_Cooking_pct,Iodized_Salt_Use_pct,Health_Insurance_Coverage_pct,Women_Literate_pct,Child_Marriage_pct,Teenage_Pregnancy_pct,Hygienic_Menstrual_Protection_pct,Higher_Order_Births_pct,ANC_First_Trimester_pct,ANC_4plus_Visits_pct,Neonatal_Tetanus_Protection_pct,Iron_Folic_100days_pct,Iron_Folic_180days_pct,MCP_Card_Registered_pct,Postnatal_Care_Mother_pct,OOP_Expenditure_Public_Delivery_Rs,Institutional_Births_pct,Institutional_Births_Public_pct,Home_Birth_Skilled_Personnel_pct,Births_Skilled_Personnel_pct,Caesarean_Section_pct,Caesarean_Private_pct,Caesarean_Public_pct,Home_Birth_Facility_Checkup_24hr_pct,Postnatal_Care_Child_pct,Fully_Vaccinated_Card_Recall_pct,Fully_Vaccinated_Card_Only_pct,VitaminA_6to35mo_pct,Vaccinated_Public_Facility_pct,Vaccinated_Private_Facility_pct,ARI_Prevalence_pct,ARI_Fever_Facility_Visit_pct,Breastfed_Within_1hr_pct,Exclusive_Breastfed_6mo_pct,Solid_Food_6to8mo_pct,Adequate_Diet_Breastfed_6to23mo_pct,Adequate_Diet_NonBreastfed_6to23mo_pct,Adequate_Diet_Total_6to23mo_pct,Child_Stunting_pct,Child_Wasting_pct,Child_Severe_Wasting_pct,Child_Underweight_pct,Child_Overweight_pct,Child_Anaemia_6to59mo_pct,Women_NonPregnant_Anaemia_pct,Women_Pregnant_Anaemia_pct,Women_All_Anaemia_pct,Women_15to19_Anaemia_pct,Women_BMI_Below_Normal_pct,Women_HighBloodSugar_Mild_pct,Women_HighBloodSugar_VHigh_pct,Women_Diabetes_or_Medicine_pct,Men_HighBloodSugar_Mild_pct,Men_HighBloodSugar_VHigh_pct,Men_Diabetes_or_Medicine_pct,Women_Hypertension_Mild_pct,Men_Hypertension_Mild_pct,Women_Cervical_Cancer_Screening_pct,Women_Breast_Exam_pct,Women_Oral_Exam_pct
Bharatpur,Rajasthan,70.11,998,63.16,65.21,63.5,46.02,38.74,74.7,21.59,54.26,62.61,50,44.49,55,54.67,22.25,48.95,36.35,13.43,52.61,57.95,2083,54.46,31.84,17.39,54.88,21.08,10.2,15.15,27.45,42.98,54.12,47.32,44.64,66.05,38.17,10.07,36.66,58.63,71.66,65.89,49.8,51.25,50.84,53.46,27.6,14.95,60,0,46.2,71.49,63.03,66.61,68.51,55,5.61,5.92,13.31,11.14,0,0,15.06,11.18,12.97,13.71,16.03
Mathura,Uttar Pradesh,70.36,1051,46.66,64.61,62.19,55.59,52.32,77.44,22.72,46.01,70,50,65.89,55,35.3,65.9,53.48,50.33,15.38,35.68,32.63,200,69.49,42.05,16.27,44.33,29.71,21.49,5.13,37.79,50.06,77.63,58.32,59.41,58.78,42.57,10.13,25.13,39.23,68.15,73.01,9.72,5,37.66,59.13,22.59,9.82,57.03,3.06,70.08,58.77,46.64,47.48,48.2,55,7.87,4.28,18.8,9.76,6.08,12.78,8.98,6.37,14.27,14.16,12.89
West Delhi,Delhi,86.98,929,72.7,97.13,65.4,53.9,54.96,79.37,32.38,83.31,59.52,50,56.13,50.66,63.33,50.23,55.73,26.83,11.72,59.62,56.42,1982,77.89,39.89,7.55,61.98,7.91,7.76,6.23,16.96,45.51,64.73,60.62,59.77,61.86,40.08,12.05,57.57,59.2,49.99,45.86,34.83,30.44,30.11,48.43,8.21,5.24,52.03,2.08,62.45,27.14,19.62,26.94,32.49,55,4.85,11.99,0,5.72,5.45,12.9,12.73,7.23,14.61,12.12,11.62
Aurangabad,Bihar,70.32,930,62.72,65.74,62.12,66.01,37.59,78.74,26.16,47.94,45.24,50,44.32,46.53,23.9,51.12,21.77,48.93,28.28,60.76,39.94,3274,61.21,46.23,18.58,73.01,11.32,7.33,7.44,16.86,58.46,54.97,32.4,60.56,55.13,48.1,11.69,32.37,56.7,18.56,34.6,15.95,22.3,9.81,69.49,3,1,60,7.33,71.52,47.58,33.6,43.87,48.34,52.1,2.46,0.21,4.79,7.82,5.56,15.66,16.07,13.28,10.49,11.21,3.87
Kannur,Kerala,95.1,992,87.73,78.56,92.7,47.45,47.51,66.87,34.04,70.48,55.83,49.36,63.74,34.5,65.3,67.33,78.74,44.88,36.96,67.26,44.86,2123,75.65,46.73,13.51,92.85,25.66,16.77,6.43,28.55,54.85,67.55,56.69,58.33,48.66,43.12,13.7,32.38,48.98,63.5,82.85,15.69,26.35,51.49,54.73,17.96,10.58,60,0.44,71.88,68.56,39.17,53.39,53.8,44.95,6.36,6.74,13.54,4.93,7.82,13.07,12.81,18.29,13.27,8.52,22.02
Mayurbhanj,Orissa,63.17,977,68.18,56.18,63.01,57.33,31.69,75.72,40.72,40.87,58.92,46.42,33.01,55,28.8,32.35,64.01,27.75,15.85,53.61,48.71,3576,53.94,30.29,25.95,59.72,20.96,8.93,9.73,27.85,25.42,45,30.2,29.92,84.12,14.13,10.35,28.94,47.19,38.71,63.03,27.01,18.57,37.38,63.63,13.28,1,60,2.59,95,66.69,69.32,64.96,66.56,55,7.83,3.77,11.16,3.59,3.17,11.69,6.94,16.24,7.35,6.43,15.89
Firozabad,Uttar Pradesh,71.92,1024,48.79,52.29,50.34,48.1,5,60.03,61.74,70.52,62.86,50,33.3,55,24.14,51.22,45.62,52.85,30.14,44.42,35.78,2608,56.83,30.28,9.38,52.21,16.52,1,12.36,16.9,26.52,58.33,41.76,12.78,53.13,48.75,8.82,39.4,38.43,57.59,71.24,33.12,16.82,10.02,60.62,13.58,10.46,51.86,3.77,82.95,21.26,54.1,33.11,35.11,50.37,8.1,0,9.5,4.44,1.55,8.57,8.25,14.14,10.62,14.31,7.72
Mirzapur,Uttar Pradesh,68.48,973,48.25,61.07,58.4,56.53,39.25,94.36,38.58,57.63,49.85,50,58.46,55,57.19,33.84,38.85,53.18,34.99,39.84,20.69,546,51.33,36.05,21.08,70.29,2,11.55,1,51.64,49.88,61.97,52.28,39.16,52.52,46.02,5.64,67.07,44.08,27.26,51.99,36.4,42.62,45.54,69.57,18.34,1.52,60,1.05,73.2,58.01,39.45,46.62,50.27,50.99,7.78,2.86,5.98,16.42,0.85,8.58,16.12,19.88,11.15,18.49,11.03
Amritsar,Punjab,76.27,936,49.63,62.81,56.53,54.19,33.43,74.36,13.29,52.34,55.66,50,34.96,55,55.24,33.88,53.2,55.55,31.17,61.88,11.18,2299,56.19,26.05,10.3,68.43,13.65,4.03,5.74,28.98,43.49,52.97,38.58,47.38,59.67,38.89,4.7,11.72,44.74,56.66,83.93,37.98,13.65,27.73,59.31,24.3,5.59,48.91,6.86,32.95,69.19,20.48,46.71,54.02,50.41,10.26,0,10.13,5.47,2.28,14.38,10.78,13.77,18.76,13.47,10.56
Tiruppur,Tamil Nadu,78.68,974,61.67,77.22,62.27,66.47,66.1,72.13,67.8,70.73,55.93,50,57.55,55,45.82,61.18,54.27,68.8,47.76,58.77,36.71,2467,73.15,25.97,12.8,72.12,6.26,4.95,3.81,30.92,51.39,28.38,17.81,34.43,87.64,14.23,11.53,23.66,43.45,52.64,70.25,16.52,31.31,23.67,56.01,14.03,6.37,60,6.9,70.88,63.08,87.09,72.72,78.48,48.07,8.08,4.25,9.84,11,7.06,10.22,8.98,9.84,12.27,15.58,12.07
Faizabad,Uttar Pradesh,68.73,994,61.21,58.01,55.54,44.24,36.53,97.07,28.26,55.03,43.92,48.42,56.98,53.71,38.21,39.34,59.63,54.57,48.58,36.26,57.75,3172,57.94,32.45,23.57,61.99,22.94,14.12,10.17,11.1,10,58.39,39.83,56.89,82.36,19.63,7.56,49.53,47.51,11.63,62.31,11.28,11.11,20.13,70,26.16,8.87,58.42,1.28,88.73,64.8,58.53,67.39,66.83,52.23,7.08,3.09,0,15.31,6.51,3.81,11.92,8.38,10.71,19.55,8.71
Tiruvannamalai,Tamil Nadu,74.21,983,70.53,65.97,58.46,40.96,21.69,63.09,43.83,60.14,61.56,50,37.43,55,46.09,50.75,53.78,32.56,37.06,43.94,59.62,3838,65.59,45.59,22.82,51.02,16.09,14.94,8.71,72.29,43.75,81.41,45.17,79.8,54.89,47.45,2.56,18.06,36.25,84.12,69.29,20.89,47.77,29.05,58.5,19.27,6.72,56.72,1.82,58.6,85.93,64.54,79.71,80.55,55,0.94,1.94,10.07,10.12,7.65,9.28,3.58,16.31,11.9,19.01,13.9
Basti,Uttar Pradesh,67.22,970,54.66,56.05,46.14,61.26,34.58,64.49,53.93,49.38,70,50,37.81,55,39.31,45.26,40.77,40.31,24.96,62.7,31.71,3017,58.35,44.82,15,47.55,11.72,8.19,4.77,78.69,30.83,47.46,41.7,72.52,84.08,11.96,1,33.35,54.54,49.14,38.87,29.17,30.42,36.7,70,19.3,6.13,49.72,7.29,95,54.35,41.43,47.89,51.52,55,6.98,0.82,6.41,3.85,3.62,10.73,8.82,6.39,11.86,17.54,5.55
Jabalpur,Madhya Pradesh,81.07,993,62.6,85.13,66.42,55.61,27.95,64.85,48.99,57.91,49.61,50,68.88,50.69,35.08,56.3,44.51,41.21,27.42,47.5,44.15,2596,72.44,38.98,16.77,64.83,44.43,29.65,17.6,20.95,27.86,41.93,23.39,67.33,63.95,28.96,16.59,33.25,40.67,50.33,70.6,22.53,40.43,21.06,62.61,34,11.25,60,5.79,73.16,59.57,47.78,52.29,55.48,55,5.32,7.05,13.21,4.05,3.75,1.05,9.61,15.09,23.08,16.81,10.59
Latur,Maharashtra,77.26,997,64.46,67.29,59.61,56.3,48.46,77.19,66.88,63.37,67.25,50,59.41,55,37.55,27.68,63.88,67.98,53.42,63.43,40.78,2809,63.63,35.35,2.56,70.82,28.38,5.28,6.29,57.07,41.74,65.62,64.08,77.71,46.82,57.2,4.06,29.76,37.1,64.62,87.3,2,32.73,28.53,49.18,20.42,9.12,60,2.26,69.42,40.91,44.5,41,39.67,55,1.51,3.52,10.72,7.48,9.96,14.73,9.53,10.43,12.01,13,15.08
Bellary,Karnataka,67.43,1005,47.22,73.51,30,59.55,39.82,83.18,54.58,47.95,57.65,50,41.03,55,60.62,33.43,54.82,51.97,29.98,42.42,24.46,2049,53.46,33.56,36.83,46.27,28.56,14.4,10.65,33.35,50.19,73.01,52.46,39.51,53.43,42.86,5.26,31.25,42.82,54.09,69.73,3.07,26.45,67.57,60.85,18.57,7.28,59.11,3.86,50.14,45.48,51.03,53.05,59.91,53.45,8,4.63,18.78,16.03,8.06,11,8.03,7.97,14.94,15.46,2.22
Giridih,Jharkhand,63.14,976,73.25,62.53,76.57,33.88,47.25,86.88,27.77,63.2,70,50,56.22,55,66.79,33.99,56.65,34.3,26.01,44.17,26.5,883,47.15,23.82,28.25,52.27,40.02,29.74,12.1,63.87,61.92,56.08,52.54,48.86,86.72,9.22,12.91,27.53,39.69,61.55,67.79,22.11,30.96,32.71,70,23.19,11.93,60,0.23,87.56,50.02,79.53,62.8,56.95,55,8.07,4.53,9,12.69,7.26,4.19,8.46,7.87,13.11,19.04,10.71
Sabarkantha,Gujarat,75.79,943,45.77,71.59,75.15,59.01,28.61,99,88.57,49.27,32.34,50,65.12,55,60.44,35.5,44.58,53.43,22.98,56,57.25,2237,53.11,33.34,27.82,63.01,26.02,20.19,4.19,41.05,44.59,77.38,43.56,70.3,95,5,3.17,49.52,52.66,34.4,60.24,35.26,51.1,38.59,61.05,33.38,13.59,57.06,7.39,52.54,67.75,30.73,52.04,55.98,38.77,7.7,4.32,3.54,9.15,0,9.51,9.43,18.79,13.95,24.2,9.18
Bhilwara,Rajasthan,61.37,956,52.87,57.81,51.13,37.06,32.33,51.01,48.89,59.45,70,50,45.65,55,39.49,41.97,63.27,20.9,10.05,21.95,42.87,2529,43.19,23.07,2,58.51,10.29,1.93,1.56,36.8,25.24,58.28,49.56,48.51,67.76,38,10.13,46.71,43.46,52.44,81.24,14.14,17.44,15.5,57.6,18.63,6.2,60,3.15,56.53,43.79,49.34,46.63,42.77,48.18,8.22,3.02,0,6.18,10.87,10.49,17.3,7.85,6.26,24.3,15.67
Thanjavur,Tamil Nadu,82.64,998,87.22,77.13,68.9,56.53,24.11,85.3,42.05,64.35,65.37,36.5,48.85,55,41.4,63.83,41.28,49.32,38.84,43.22,52.86,1117,67.32,45.12,12.85,75.64,9.12,1,4.27,5,36.22,68.93,59.61,49.6,51.8,49.26,15.29,44.82,35.91,20.63,83.47,33.8,3,10.71,61.84,22.52,11.33,51.25,4.17,36.78,73.52,55.77,66.79,73.65,49.91,6.5,8.55,4.31,8.52,4.72,15.73,0,11.32,17.49,24.18,13.71
Ambedkar Nagar,Uttar Pradesh,72.23,917,59.24,51.51,50.23,51.28,48.86,71.31,64.28,58.79,53.82,50,46.43,55,30.15,59.48,59.05,29.86,12.17,51.42,27.32,3394,48.57,32.5,15.99,53.31,27.65,18.61,11.42,19.19,51.28,48.51,46.81,95,59.75,41.96,16.46,32.5,57.37,50.72,58.52,7.05,18.98,44.57,59.23,18.13,1.76,53.69,1.13,78.44,38.6,48.13,40.9,41.89,55,5.01,10.71,10.89,7.76,5.52,15.59,13.49,10.19,3.37,14.66,7.69
PanchMahal,Gujarat,70.99,965,56.34,61.94,78.1,34.69,45.38,70.96,49.99,62.01,37.69,50,52.56,55,30.26,38.52,32.05,20.23,11.11,42.45,43.8,3105,49.28,33.59,2,71.91,2,1,1,35.37,27.08,57.47,30.88,59.91,48.28,55.17,6.21,37.92,44.17,81.01,70.38,28.07,13.07,41.15,67.99,18.18,1,60,0.73,73.81,64.59,65.93,64.26,70.46,55,13.08,8.34,12.16,7.73,6.34,16.39,9.57,19.35,7.68,8.19,16.46
Sagar,Madhya Pradesh,76.46,934,58.77,74.73,83.67,45.73,48.31,70.56,52.98,54.95,57,50,51.64,55,35.41,49.38,46.8,52.64,18.99,63.49,18.23,965,73.33,38.69,30.68,55.69,17.22,5.45,2.28,38.58,49.52,56.7,36.9,93.27,50.9,48.89,7.95,46.77,51.82,27.89,68.48,28.15,43.55,47.57,70,15.08,1.27,39.48,3.9,65.15,63.28,22.23,42.68,43.25,55,6.59,4.06,5.97,3.5,5.49,12.88,9.69,22.23,11.05,18.3,11.56
Bhopal,Madhya Pradesh,80.37,951,63.47,71.99,68.81,69.77,43.25,67.09,94.84,70.23,37.34,42.84,65.65,53.84,70.02,53.57,72.85,56.09,49.7,40.2,58.34,3429,70.11,53.97,37.45,77.05,2,10.1,3.6,13.13,47.73,58.44,48.44,21.53,49.13,55.93,6.41,50.78,73.19,48.69,71.03,30.62,27.54,26.04,62.87,14.52,4.78,60,6.83,76.1,58.86,80.14,67.61,76.29,55,0,3.86,6.85,3.42,4.48,7.73,7.97,18.45,13.34,21.56,12.58
Rewa,Madhya Pradesh,71.62,1001,72.44,54.62,71.79,59,44.19,98.21,39.5,34.22,61.48,50,34.84,55,61.07,50.43,59.87,46.3,37.88,55.79,46.07,1923,57.26,35.36,44.74,56.48,18.99,19.57,8.68,21.88,41.59,51.34,39.69,45.38,60.57,33.45,7.93,39.52,60.09,16.77,53.41,12.9,41.58,42.05,69.09,32.57,14.2,60,1.92,74.69,69.77,28.07,52.67,47.84,55,0,7.28,9.35,8.32,5.44,6.46,12.51,10.75,13.31,1.56,14.29
Bikaner,Rajasthan,65.13,958,31.73,58.25,59.09,44.96,58.14,88.11,38.64,44.6,65.04,50,30.65,55,44.78,28.54,41.87,35.37,22.73,31.83,22.94,1499,73.53,42.42,7.45,56.67,26.54,19.69,12.84,44.96,17,53.53,42.49,66.18,64.17,30.4,13.19,50.69,46.41,55.14,82.14,6.43,30.45,2,65.4,14.57,1,60,1.04,59.52,43.86,31.92,35.6,40.9,55,10.82,1.73,10.9,2.36,6.91,7.5,14.75,15.05,18.68,5.63,7.35
Surguja,Chhattisgarh,60.01,952,65.34,65.94,40.64,44.44,26.73,78.28,47.33,38.62,54.58,50,43.82,55,21.48,57.85,38.82,19.81,15.95,38.49,55.4,3171,37.82,14.71,21.41,52.82,20.79,15.05,12.75,10.1,28.72,32.45,21.46,59.87,59.33,34.97,2.4,22.81,28.27,63.39,73.48,33.71,30.12,33.49,61.04,6.67,2.63,60,3.61,53.23,48.01,42.81,43.68,43.43,52.58,0,9.13,14.1,4.5,7.55,10.67,0.52,7.54,13.95,9.72,14.79
Vizianagaram,Andhra Pradesh,58.89,896,34.93,61.73,49.16,38.28,32.41,94.21,66.43,35.03,70,50,36.31,55,43.11,46.45,44.28,20.51,15.47,30.58,13.78,2154,57.86,31.05,35.87,51.64,27.38,8.05,11.73,37.41,14.89,57.13,55.25,16.89,58.02,44.09,10.59,43.41,27.94,61.9,83.04,6.69,32.3,39.4,70,20,6.94,60,6.27,39.27,40.55,39.64,44.17,47.88,55,3.82,6.37,6.06,7.12,8.66,10.87,20.47,14.26,11.44,7.93,11.14
Rampur,Uttar Pradesh,53.34,980,42.34,47.57,50.99,50.9,10.71,59.85,14.87,38.62,70,50,31.07,55,26.47,43.44,44.81,20.04,23.1,56.36,38.37,3909,44.45,25.36,16.96,50.73,37.65,20.77,11.52,57.28,22.28,33.8,46.22,53.41,75.69,26.84,7.22,35.86,50.62,44.17,48.27,15.75,50.72,18.74,68.48,27.14,11.27,60,1.72,62.33,55.14,56.79,59.46,64.1,55,1.14,3.16,5.29,8.32,1.71,16.14,10.72,2.46,7.92,2.62,5.44
Baleshwar,Orissa,79.79,976,60.55,78.47,62.32,53.85,29.85,62.03,5.69,65.91,61.88,50,38.17,54.15,18.05,62.32,69.38,42.09,21.1,42.46,54.54,1432,74.1,34.45,13.2,70.95,16.56,9.29,6.26,41.94,54.89,55.88,42.74,95,57.87,39.77,13.47,31.19,46.89,16.4,49.15,41.7,32.61,39.67,58.27,28.94,5.85,60,2.5,45.38,53.2,54.94,58.83,56.2,53.16,4.79,4.85,19.12,11.46,3.36,9.73,10.55,14.41,12.74,17.86,10.24
Kheda,Gujarat,82.65,1037,72.87,71.82,66.54,60.17,46.06,51.86,33.26,70.87,50.5,50,58.05,55,48.9,56,54.16,59.24,41.4,56.63,34.71,642,71.12,36.78,2,76.52,46.08,26.35,22.77,41.04,60.23,64.42,51.94,62.94,59.03,39.81,13.26,42.51,50.51,32.65,95,27.04,45.53,24.84,70,9.44,11.62,52.14,4.67,67.44,67.85,51.82,54.11,60.81,49.64,7.54,5.88,17.92,1.99,7.56,0.88,3.03,12.67,9.2,22.74,7.37
Gurdaspur,Punjab,79.95,938,48.98,60.03,66.05,67.43,59.53,69.61,12.32,64.88,37.87,50,55.44,55,33.87,35.64,40.85,57.7,43.24,38.7,47.52,1948,52.98,27.81,33.59,71.67,20.13,11.33,18.1,5,46.54,47.85,36.34,70.09,58.82,47.52,6.37,42.2,39.52,77.62,82.21,29.43,44.63,26.04,57.32,27.9,11.26,49.99,4.89,62.59,60.8,27.31,44.66,48.47,47.98,3.34,2.72,6.35,2,0.29,5.04,7.14,15.64,3.85,15.05,13.22
Purbi Singhbhum,Jharkhand,75.49,959,66.24,61.47,63.26,45.07,36.45,79.94,36.5,53.84,64.48,45.39,59.38,55,31.82,43.63,55.64,22.96,23.5,68.84,25.65,2910,64.93,36.16,19.77,54.05,27.49,24.36,11.47,20.21,34.68,32.92,34.96,45.12,89.78,6.75,7.56,35,53.43,70.82,52.77,32.5,27.71,23.9,70,35.47,10.54,55.13,2.43,58.97,65.34,47.77,56.83,60.14,53.24,2.74,7.1,14.71,12.23,5.48,6.12,16.8,12.93,7.21,6.8,10.61
South West Delhi,Delhi,88.28,960,91.45,90.39,72.9,77.38,44.43,79.23,55.05,72.99,44.33,50,62.49,55,45.55,33.16,57.81,40.82,6.42,65.81,18.81,1366,77.72,28.64,11.25,77.2,11.89,5.02,6.3,71.98,67.61,58.96,50.85,62.87,53.16,48.32,11.57,40.24,66.14,53.36,78.02,32.07,28.96,45.98,58.96,13.53,5.8,47.7,5.19,80.7,52.04,50.32,49.49,53.51,54.62,8.92,7.82,20.02,13.71,2.64,6.12,10.34,18.01,21.74,18.69,14.49
Erode,Tamil Nadu,72.58,1013,45.8,63.4,51.57,35.5,32.44,79.79,27.19,57.69,42.55,50,49.48,55,33.94,48.53,39.17,32.65,14.8,52.18,30.73,1003,44.16,23.21,23.41,57.18,34.19,20.52,14.87,24.22,32.92,37.75,19.78,57.75,72.73,23.84,11.93,17.19,62.9,57.92,58.01,24.74,24.71,21.55,59.29,17.61,11.53,54.29,4.06,50.2,61.09,69.72,66.38,70.2,49.25,16.53,3.21,15.58,2.82,6.65,0,12.08,8.42,9.51,8.97,4.08
Khordha,Orissa,86.88,946,72.06,76.49,64.3,77.11,39.11,61.07,16.46,76.34,61.39,50,72.59,55,47.37,50.1,64.45,18.06,5,75.56,44.73,2406,89.4,46.15,21.84,64.97,28.42,22.17,10.04,57.76,34.16,71.33,48.6,80.38,48.53,56.95,1,33.22,49.61,36.5,39.52,14.18,47.96,20.08,59.29,9.15,1,56.59,3.03,37.28,82.19,53.19,66.73,73.41,43.18,8.16,2.57,5.19,3.62,2.46,18.85,7.69,17.54,13.01,12.33,10.94
North East Delhi,Delhi,83.09,961,60.7,72.68,56.16,54.44,49.28,87.64,46.39,71.84,70,50,45.04,53.86,44.71,49.37,56.88,53.34,33.2,59.64,57.59,883,73.12,40.05,22.02,68.31,32.71,14.16,16.1,24,54.06,46.86,27.07,79.74,68.3,34.84,11.56,37.04,58.84,78.23,33.5,57.21,16.83,16.71,52.72,33.83,9.05,56.05,4.8,61.62,34.82,56.12,45.96,46.37,55,2.34,3.68,9.52,9.18,3.92,0.09,19.85,15.83,20.06,21.42,8.54
Supaul,Bihar,57.67,974,52.51,65.23,62.26,37.94,7.14,80.88,62.25,44.26,64.99,50,45.73,55,10,49.05,45.55,30.88,5,42.56,35.41,2476,54.4,38.2,17.39,50.49,18.55,7.86,10.52,30,37.21,64.54,69.96,66.15,71.83,21.18,14.59,22.35,40,42.06,64.67,21.49,19.88,22.58,70,7.06,2.47,60,4.53,53.9,27.41,81.4,64.61,71.19,53.03,9.48,0.53,0.24,7.19,4.13,8.13,9.23,19.54,0,17.54,10.62
Satna,Madhya Pradesh,72.26,957,59.39,76.42,40.91,31.68,57.57,86.8,11.1,49.24,70,50,33.87,55,57.99,37.87,43.02,39.77,7.5,51.9,44.48,1893,52.1,45.07,39.47,63.42,5.45,1,3.33,44.28,33.23,54.67,46.08,59.42,81.52,17.18,9.02,25.08,56.32,62.87,88.41,28.97,26.13,29.34,70,15.8,6.22,60,0.91,66.82,64.55,31.44,48.95,53.69,55,12.98,0,4.18,7.23,5.74,14.29,15.65,19.94,10.08,13.01,8.43
Nawada,Bihar,59.76,932,43.41,69.32,65.38,37.28,20.87,55.29,61.4,40.57,65.06,50,33.45,55,21.07,32.83,48.71,51.03,47.98,47.47,23.68,2645,56.32,36.4,18.4,59.24,22.6,14.97,6.64,36.81,34.07,48.58,31.67,24.42,55.08,34.52,11.8,42.83,41.85,31.1,87.82,30.28,13.93,34.66,70,25.28,12.24,58.49,5.97,51.3,42.27,43.79,44.11,45.63,55,10.25,2.7,8.92,3.88,7.87,13.95,9.24,7.29,5.27,15.61,10.85
Mau,Uttar Pradesh,73.09,958,64.7,64.67,76.37,40.76,49.68,81.74,61.35,52.73,52.34,50,39.04,49.02,28.77,44.12,39.34,42.6,30.5,46.24,37.49,955,70.84,29.09,39.43,72.58,2,1,1,41.87,45.51,31.43,18.17,23.72,41.95,62.55,13.12,34.45,39.65,51.79,83.9,18.6,21.72,17.96,70,13.53,9.84,45.13,3.69,71.31,34.27,31.83,35.51,44.67,54.42,0,1.12,10.1,9.88,8.1,3.65,11.74,16.1,14.62,9.25,8.83
Chandrapur,Maharashtra,80.01,993,83.05,74.08,63.98,49.93,23.96,63.75,64.08,60.49,45.69,50,63.83,55,40.06,25.93,48.73,39.84,24.87,53.86,36.85,3368,70.04,35.76,26.77,70.7,14.64,7.95,8.05,20.27,46.45,60.74,52,59.64,47.89,62.35,8.89,64.61,64.21,77.47,77.45,19.89,45.9,31.47,61.28,11.09,6.78,50.55,5.75,50.41,63.01,75.7,69.9,75.2,46.86,8.11,9.31,5.54,6.05,5.61,17.03,11.76,6.01,17.19,18.65,18.51
Jalandhar,Punjab,82.48,909,64.95,63.62,42.58,56.36,54.52,73.23,69.37,67.25,66.88,48.54,57.08,55,44.06,46.3,56.18,53.1,34.77,65.84,34.79,2035,70.03,43.28,24.21,74.24,19.91,9.62,7.82,14.55,50.87,59.4,51.79,75.49,79.36,9.74,11.26,42.31,53.1,37.96,69.76,42.86,39.12,34.34,66.08,18.58,3.27,60,3.1,50.24,39.93,76.8,55.07,58.6,55,4.16,2.63,0,5.92,1.67,16.31,14.62,19.96,17.71,14.58,12.58
Dhar,Madhya Pradesh,59,955,56.45,63.44,49.74,50.88,40.48,84.41,89.04,50.87,56.8,50,41.16,55,49.96,10,60.77,47.21,29.5,44.07,28.28,2887,43,27.52,18.64,50.91,41.77,21.8,11.67,19.05,26.38,31.86,30.28,84.63,95,5,8.05,42.26,38.04,68.49,82.28,16.13,24.11,15.81,70,38.12,12.03,60,3.5,74.25,78.09,74.46,71.33,77.19,55,6.21,5.37,9.97,2.48,12.74,10.09,13.69,7.88,18.16,5.17,12.51
Bijapur,Karnataka,67.15,922,42.43,52.26,58.01,49.08,41.05,79.09,37.88,51.67,67.06,50,35.94,55,40.17,33.26,56.5,42.13,33.26,45.86,41.18,3064,55.35,38.34,31.69,63.22,21.19,16.82,2.9,25.42,43.25,52.98,36.33,40.21,77.02,23.82,7.79,30.71,47,35.55,34.84,29.95,41.24,27.76,70,16.95,4.39,60,3.8,64.3,57.35,58.76,57.97,60.45,52.38,4.5,2.12,12.64,10.17,4.74,11.14,7.63,10.72,14.86,8.89,9.62
Jamnagar,Gujarat,73.65,998,50.67,67.8,52.77,54.63,24.27,67.78,47.19,57.73,50.22,50,48.56,55,47.31,54.45,63.64,50.1,25,37.55,37.32,1158,58.51,31.4,21.36,66.5,19.4,10.92,9.44,30.87,40.72,50.73,40.49,27.82,39.28,60.63,5.35,27.99,40.78,38.77,79.85,35.75,59.15,25.98,61.71,17.34,9.27,60,4.09,47.19,51.96,56.09,53.22,60.69,55,8.97,9.35,12.83,5.55,5.82,6.43,15.8,14.31,14.5,16.78,14.74
Dindigul,Tamil Nadu,76.26,889,66.92,60.95,59.42,42.43,44.5,78.08,36.67,60.97,49.64,50,45.75,48.5,45.24,51.12,68.74,41.38,26.32,68.36,41.87,2994,69.4,35.26,8.81,64.39,17.37,14.39,1,53.67,36.28,54.34,41.64,76.66,76.41,21.54,8.69,40.18,53.47,54.84,48.18,22.43,34.38,27.89,64.22,10.08,5.85,60,6.06,50.72,42.68,42.67,36.78,38.53,55,4.59,3.42,7.97,6.82,5.73,12.26,5.05,17.43,25.89,7.85,8.35
Balrampur,Uttar Pradesh,49.51,928,56.97,40.44,62.48,25.85,6.96,59.62,45.04,32.96,70,50,38.49,55,30.01,22.57,73.21,28.77,19.08,28.04,38.04,917,35.28,33.42,8.41,59.3,4.58,1,2.8,36.57,24.28,42.54,24.41,41.71,45.01,46.3,15.55,41.34,35.32,72.49,51.31,23.87,49.89,20.64,66.81,22.08,12.62,60,3.93,59.41,58.23,62.31,65.16,71.7,55,11.67,0.27,8.32,11.76,6.06,12.13,4.08,15.23,0,8.49,7.26
